customer_id,email,phone,region,date_of_birth
100045,yhnmju@email.mine,8615044567890,South,1996-05-14
100046,ujmikol@email.mine,8613155678901,East,1996-05-14
100047,zaqxsw@email.mine,8615966789012,North,1996-05-14
100048,edcrfv@email.mine,8613877890123,West,1987-03-12
100049,rfvbgt@email.mine,8615088901234,Mvk,1987-12-03
100050,tgbnhy@email.mine,8613199012345,South,1987-03-12
100051,yhnmju@email.mine,8615901234567,East,1987-03-12
100052,ujmikol@email.mine,8613823456789,North,1994-07-18
100053,zaqxsw@email.mine,8615034567890,West,1994-07-18
100054,edcrfv@email.mine,8613145678901,Mvk,1994-07-18
100055,rfvbgt@email.mine,8615956789012,South,1990-11-02
100056,tgbnhy@email.mine,8613867890123,East,1990-02-11
100057,yhnmju@email.mine,8615078901234,North,1990-11-02
100058,ujmikol@email.mine,8613189012345,West,1988-06-25
100059,zaqxsw@email.mine,8615990123456,Mvk,1988-06-25
100060,edcrfv@email.mine,8613801234567,South,1988-06-25
100061,rfvbgt@email.mine,8615012345678,East,1988-06-25
100062,tgbnhy@email.mine,8613123456789,North,1995-08-03
100063,yhnmju@email.mine,8615934567890,West,1995-03-08
100064,ujmikol@email.mine,8613845678901,Mvk,1995-08-03
100065,zaqxsw@email.mine,8615056789012,South,1997-10-21
100066,edcrfv@email.mine,8613167890123,East,1997-10-21
100067,rfvbgt@email.mine,8615978901234,North,1997-10-21
100068,tgbnhy@email.mine,8613889012345,West,1989-04-14
100069,yhnmju@email.mine,8615090123456,Mvk,1989-04-14
100070,ujmikol@email.mine,8613111234567,South,1989-04-14
100071,zaqxsw@email.mine,8615922345678,East,1989-04-14
100072,edcrfv@email.mine,8613833456789,North,1993-08-27
100073,rfvbgt@email.mine,8615044567890,West,1993-08-27
100074,tgbnhy@email.mine,8613155678901,Mvk,1993-08-27
100075,yhnmju@email.mine,8615966789012,South,1998-10-01
100076,ujmikol@email.mine,8613877890123,East,1998-01-10
100077,zaqxsw@email.mine,8615088901234,North,1998-10-01
100078,edcrfv@email.mine,8613199012345,West,1986-07-23
100079,rfvbgt@email.mine,8615901234567,Mvk,1986-07-23
100080,tgbnhy@email.mine,8613823456789,South,1986-07-23
100081,yhnmju@email.mine,8615034567890,East,1986-07-23
100082,ujmikol@email.mine,8613145678901,North,1991-06-12
100083,zaqxsw@email.mine,8615956789012,West,1991-12-06
100084,edcrfv@email.mine,8613867890123,Mvk,1991-06-12
100085,rfvbgt@email.mine,8615078901234,South,1996-05-19
100086,tgbnhy@email.mine,8613189012345,East,1996-05-19
100087,yhnmju@email.mine,8615990123456,North,1996-05-19
100088,ujmikol@email.mine,8613801234567,West,1987-02-10
100089,zaqxsw@email.mine,8615012345678,Mvk,1987-10-02
100090,edcrfv@email.mine,8613123456789,South,1987-02-10
100091,rfvbgt@email.mine,8615934567890,East,1987-02-10
100092,tgbnhy@email.mine,8613845678901,North,1994-03-15
100093,yhnmju@email.mine,8615056789012,West,1994-03-15
100094,ujmikol@email.mine,8613167890123,Mvk,1994-03-15
100095,zaqxsw@email.mine,8615978901234,South,1990-06-28
100096,edcrfv@email.mine,8613889012345,East,1990-06-28
100097,rfvbgt@email.mine,8615090123456,North,1990-06-28
100098,tgbnhy@email.mine,8613111234567,West,1988-11-09
100099,yhnmju@email.mine,8615922345678,Mvk,1988-09-11
100100,ujmikol@email.mine,8613833456789,South,1988-11-09
100101,zaqxsw@email.mine,8615044567890,East,1988-11-09
100102,edcrfv@email.mine,8613155678901,North,1995-02-24
100103,rfvbgt@email.mine,8615966789012,West,1995-02-24
100104,tgbnhy@email.mine,8613877890123,Mvk,1995-02-24
100105,yhnmju@email.mine,8615088901234,South,1999-07-07
100106,ujmikol@email.mine,8613199012345,East,1999-07-07
100107,zaqxsw@email.mine,8615901234567,North,1999-07-07
100108,edcrfv@email.mine,8613823456789,West,1985-12-20
100109,rfvbgt@email.mine,8615034567890,Mvk,1985-12-20
100110,tgbnhy@email.mine,8613145678901,South,1985-12-20
100111,yhnmju@email.mine,8615956789012,East,1985-12-20
100112,ujmikol@email.mine,8613867890123,North,1992-03-05
100113,zaqxsw@email.mine,8615078901234,West,1992-05-03
100114,edcrfv@email.mine,8613189012345,Mvk,1992-03-05
100115,rfvbgt@email.mine,8615990123456,South,1997-10-16
100116,tgbnhy@email.mine,8613801234567,East,1997-10-16
100117,yhnmju@email.mine,8615012345678,North,1997-10-16
100118,ujmikol@email.mine,8613123456789,West,1989-03-29
100119,zaqxsw@email.mine,8615934567890,Mvk,1989-03-29
100120,edcrfv@email.mine,8613845678901,South,1989-03-29
100121,rfvbgt@email.mine,8615056789012,East,1989-03-29
100122,tgbnhy@email.mine,8613167890123,North,1996-12-08
100123,yhnmju@email.mine,8615978901234,West,1996-08-12
100124,ujmikol@email.mine,8613889012345,Mvk,1996-12-08
100125,zaqxsw@email.mine,8615090123456,South,1991-01-25
100126,edcrfv@email.mine,8613111234567,East,1991-01-25
100127,rfvbgt@email.mine,8615922345678,North,1991-01-25
100128,tgbnhy@email.mine,8613833456789,West,1987-08-06
100129,yhnmju@email.mine,8615044567890,Mvk,1987-06-08
100130,ujmikol@email.mine,8613155678901,South,1987-08-06
100131,zaqxsw@email.mine,8615966789012,East,1987-08-06
100132,edcrfv@email.mine,8613877890123,North,1994-11-21
100133,rfvbgt@email.mine,8615088901234,West,1994-11-21
100134,tgbnhy@email.mine,8613199012345,Mvk,1994-11-21
100135,yhnmju@email.mine,8615901234567,South,1999-04-04
100136,ujmikol@email.mine,8613823456789,East,1999-04-04
100137,zaqxsw@email.mine,8615034567890,North,1999-04-04
100138,edcrfv@email.mine,8613145678901,West,1986-09-17
100139,rfvbgt@email.mine,8615956789012,Mvk,1986-09-17
100140,tgbnhy@email.mine,8613867890123,South,1986-09-17
100141,yhnmju@email.mine,8615078901234,East,1986-09-17
100142,ujmikol@email.mine,8613189012345,North,1993-02-28
100143,zaqxsw@email.mine,8615990123456,West,1993-02-28
100144,edcrfv@email.mine,8613801234567,Mvk,1993-02-28
100145,rfvbgt@email.mine,8615012345678,South,1998-11-07
100146,tgbnhy@email.mine,8613123456789,East,1998-07-11
100147,yhnmju@email.mine,8615934567890,North,1998-11-07
100148,ujmikol@email.mine,8613845678901,West,1984-12-24
100149,zaqxsw@email.mine,8615056789012,Mvk,1984-12-24
100150,edcrfv@email.mine,8613167890123,South,1984-12-24
100151,rfvbgt@email.mine,8615978901234,East,1984-12-24
100152,tgbnhy@email.mine,8613889012345,North,1991-07-05
100153,yhnmju@email.mine,8615090123456,West,1991-05-07
100154,ujmikol@email.mine,8613111234567,Mvk,1991-07-05
100155,zaqxsw@email.mine,8615922345678,South,1996-10-20
100156,edcrfv@email.mine,8613833456789,East,1996-10-20
100192,yhnmju@email.mine,8615966789012,Mvk,1989-01-03
100193,ujmikol@email.mine,8613877890123,South,1989-03-01
100194,zaqxsw@email.mine,8615088901234,East,1989-03-01
100195,lkjhgf@email.mine,8615023456789,North,1993-11-30
100196,mnbvcx@email.mine,8613124567890,West,1988-08-15
100197,ytrewq@email.mine,8615934567890,Mvk,1994-07-08
100198,qazwsx@email.mine,8613845678901,South,1991-09-22
100199,edcrfv@email.mine,8615056789012,East,1990-05-12
100200,tgbnhy@email.mine,8613167890123,North,1993-07-15
100204,cdewsx@email.mine,8613111234567,East,1988-09-21
100205,vfrbgt@email.mine,8615922345678,North,1988-09-21
100206,nmjuyt@email.mine,8613833456789,West,1988-09-21
100207,hytrfd@email.mine,8615044567890,Mvk,1987-12-04
100208,kiujyh@email.mine,8613155678901,South,1987-04-12
100209,lopmki@email.mine,8615966789012,East,1987-12-04
100210,qscder@email.mine,8613877890123,North,1991-11-30
100211,wxvfrt@email.mine,8615088901234,West,1991-11-30
100212,edcvfr@email.mine,8613199012345,Mvk,1991-11-30
100213,rfvgyh@email.mine,8615901234567,South,1992-08-15
100214,tgbnju@email.mine,8613823456789,East,1992-08-15
100215,rfvbgyh@email.mine,8615078901234,East,1995-10-25
100221,tgbnhyu@email.mine,8613189012345,North,1989-07-18
100222,yhnmju@email.mine,8615990123456,West,1989-07-18
100223,ujmikol@email.mine,8613801234567,Mvk,1989-07-18
100224,zaqxswc@email.mine,8615012345678,South,1994-05-22
100225,edcvfrt@email.mine,8613123456789,East,1994-05-22
100226,rfvbgy@email.mine,8615934567890,North,1994-05-22
100227,tgbnhy@email.mine,8613845678901,West,1996-09-17
100228,yhnmju@email.mine,8615056789012,Mvk,1996-09-17
100229,ujmikol@email.mine,8613167890123,South,1996-09-17
100230,xkzpl@email.mine,8613812345678,North,1989-05-12
100231,qwerty@email.mine,8615012345678,West,1990-03-15
100232,asdfgh@email.mine,8613123456789,Mvk,1985-07-23
100233,zxcvbn@email.mine,8615912345678,South,1992-04-23
100234,poiuyt@email.mine,8613819876543,East,1987-12-05
