CUSTOMER_ID	COMMENT 	AMOUNT 	CURRENCY	ACCOUNT	NAME	LAST_NAME	TRANSACTION_TYPE
100206	"REF 66477, DISB LOAN  SEP DEC 16"	"10,000"	RWF	100-98/DUMMY/196	NAME_196	LAST_NAME_1071	C
100207	REF 67696 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/197	NAME_197	LAST_NAME_1072	C
100208	REF 66777 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/198	NAME_198	LAST_NAME_1073	C
100209	REF 66670 DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/199	NAME_199	LAST_NAME_1074	C
100210	"REF 68137 DISB, LOAN  SEP DEC 16"	"10,000"	RWF	100-98/DUMMY/200	NAME_200	LAST_NAME_1075	C
100211	REF 67558DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/201	NA'ME_201	LAST_NAME_1076	C
100212	REF 66611DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/202	NAME_202	LAST_NAME_1077	D
100213	REF 67741DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/203	NAME_203	LAST_NAME_1078	C
100214	"REF 66544 ,DISB LOAN  SEP DEC 16"	"10,000"	RWF	100-98/DUMMY/204	NAME_204	LAST_NAME_1079	C
100215	REF 68261DISB LOAN  SEP DEC 16	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	D
100215	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440297	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	C
100215	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440179	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	C
100215	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440180	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	C
100215	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440283	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	C
100215	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 _00440372	"10,000"	RWF	100-98/DUMMY/205	NAME_205	LAST_NAME_1080	C
100221	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440181	"10,000"	RWF	100-98/DUMMY/211	NAME_211	LAST_NAME_1086	D
100222	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669_00440114	"10,000"	RWF	100-98/DUMMY/212	NAME_212	LAST_NAME_1087	D
100223	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440094	"10,000"	RWF	100-98/DUMMY/213	NAME_213	LAST_NAME_1088	C
100224	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440145	"10,000"	RWF	100-98/DUMMY/214	NAME_214	LAST_NAME_1089	C
100225	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440258	"10,000"	RWF	100-98/DUMMY/215	NAME_215	LAST_NAME_1090	D
100226	REG PAYMENT JAN 16 NO IDENTIFIER  HUW5669 00440139	"10,000"	RWF	100-98/DUMMY/216	NAME_216	LAST_NAME_1091	C
100227	REG PAYMENT, JAN 16 NO IDENTIFIER  HUW5669 00440146	"10,000"	RWF	100-98/DUMMY/217	NAME_217	LAST_NAME_1092	C
100228	REG PAYMENT JAN 16 REG NO DWM19515	"10,000"	RWF	100-98/DUMMY/218	NAME_218	LAST_NAME_1093	D
100229	ARREARS PAYMENT SEP-DEC 2015 REG NO KBYISNM034	"10,000"	RWF	100-98/DUMMY/219	NAME_219	LAST_NAME_1094	D
