"customer_id,email,phone,region,Dateof birth"
"100084,edcrfv@email.mine,8613867890123,MVK,12/6/1991"
"100085,rfvbgt@email.mine,8615078901234,South,1996-5-19"
"100086,tgbnhy@email.mine,8613189012345,East,19/5/96"
"100087,yhnmju@email.mine,8615990123456,North,5-19-1996"
"100088,ujmikol@email.mine,8613801234567,West,1987/10/2"
"100089,zaqxsw@email.mine,8615012345678,MVK,2/10/87"
"100090,edcrfv@email.mine,8613123456789,South,10-2-1987"
"100091,rfvbgt@email.mine,8615934567890,East,87/10/2"
"100092,tgbnhy@email.mine,8613845678901,North,1994-3-15"
"100093,yhnmju@email.mine,8615056789012,West,15/3/94"
"100094,ujmikol@email.mine,8613167890123,MVK,3/15/1994"
"100095,zaqxsw@email.mine,8615978901234,South,1990-6-28"
"100096,edcrfv@email.mine,8613889012345,East,28/6/90"
"100097,rfvbgt@email.mine,8615090123456,North,6-28-1990"
"100098,tgbnhy@email.mine,8613111234567,West,1988/9/11"
"100099,yhnmju@email.mine,8615922345678,MVK,11/9/88"
"100100,ujmikol@email.mine,8613833456789,South,9-11-1988"
"100101,zaqxsw@email.mine,8615044567890,East,88/9/11"
"100102,edcrfv@email.mine,8613155678901,North,1995-2-24"
"100103,rfvbgt@email.mine,8615966789012,West,24/2/95"
"100104,tgbnhy@email.mine,8613877890123,MVK,2/24/1995"
"100105,yhnmju@email.mine,8615088901234,South,1999-7-7"
"100106,ujmikol@email.mine,8613199012345,East,7/7/99"
"100107,zaqxsw@email.mine,8615901234567,North,7-7-1999"
"100108,edcrfv@email.mine,8613823456789,West,1985/12/20"
"100109,rfvbgt@email.mine,8615034567890,MVK,20/12/85"
"100110,tgbnhy@email.mine,8613145678901,South,12-20-1985"
"100111,yhnmju@email.mine,8615956789012,East,85/12/20"
"100112,ujmikol@email.mine,8613867890123,North,1992-5-3"
"100113,zaqxsw@email.mine,8615078901234,West,3/5/92"
"100114,edcrfv@email.mine,8613189012345,MVK,5/3/1992"
"100115,rfvbgt@email.mine,8615990123456,South,1997-10-16"
"100116,tgbnhy@email.mine,8613801234567,East,16/10/97"
"100117,yhnmju@email.mine,8615012345678,North,10-16-1997"
"100118,ujmikol@email.mine,8613123456789,West,1989/3/29"
"100119,zaqxsw@email.mine,8615934567890,MVK,29/3/89"
"100120,edcrfv@email.mine,8613845678901,South,3-29-1989"
"100121,rfvbgt@email.mine,8615056789012,East,89/3/29"
"100122,tgbnhy@email.mine,8613167890123,North,1996-8-12"
"100123,yhnmju@email.mine,8615978901234,West,12/8/96"
"100124,ujmikol@email.mine,8613889012345,MVK,8/12/1996"
"100125,zaqxsw@email.mine,8615090123456,South,1991-1-25"
"100126,edcrfv@email.mine,8613111234567,East,25/1/91"
"100127,rfvbgt@email.mine,8615922345678,North,1-25-1991"
"100128,tgbnhy@email.mine,8613833456789,West,1987/6/8"
"100129,yhnmju@email.mine,8615044567890,MVK,8/6/87"
"100130,ujmikol@email.mine,8613155678901,South,6-8-1987"
"100131,zaqxsw@email.mine,8615966789012,East,87/6/8"
"100132,edcrfv@email.mine,8613877890123,North,1994-11-21"
"100133,rfvbgt@email.mine,8615088901234,West,21/11/94"
"100134,tgbnhy@email.mine,8613199012345,MVK,11/21/1994"
"100135,yhnmju@email.mine,8615901234567,South,1999-4-4"
"100136,ujmikol@email.mine,8613823456789,East,4/4/99"
"100137,zaqxsw@email.mine,8615034567890,North,4-4-1999"
"100138,edcrfv@email.mine,8613145678901,West,1986/9/17"
"100139,rfvbgt@email.mine,8615956789012,MVK,17/9/86"
"100140,tgbnhy@email.mine,8613867890123,South,9-17-1986"
"100141,yhnmju@email.mine,8615078901234,East,86/9/17"
"100142,ujmikol@email.mine,8613189012345,North,1993-2-28"
"100143,zaqxsw@email.mine,8615990123456,West,28/2/93"
"100144,edcrfv@email.mine,8613801234567,MVK,2/28/1993"
"100145,rfvbgt@email.mine,8615012345678,South,1998-7-11"
"100146,tgbnhy@email.mine,8613123456789,East,11/7/98"
"100147,yhnmju@email.mine,8615934567890,North,7-11-1998"
"100148,ujmikol@email.mine,8613845678901,West,1984/12/24"
"100149,zaqxsw@email.mine,8615056789012,MVK,24/12/84"
"100150,edcrfv@email.mine,8613167890123,South,12-24-1984"
"100151,rfvbgt@email.mine,8615978901234,East,84/12/24"
"100152,tgbnhy@email.mine,8613889012345,North,1991-5-7"
"100153,yhnmju@email.mine,8615090123456,West,7/5/91"
"100154,ujmikol@email.mine,8613111234567,MVK,5/7/1991"
"100155,zaqxsw@email.mine,8615922345678,South,1996-10-20"
"100156,edcrfv@email.mine,8613833456789,East,20/10/96"
"100156,rfvbgt@email.mine,8615044567890,North,10-20-1996"
"100156,tgbnhy@email.mine,8613155678901,West,1989/1/3"
"100192,yhnmju@email.mine,8615966789012,MVK,3/1/89"
"100193,ujmikol@email.mine,8613877890123,South,1-3-1989"
"100194,zaqxsw@email.mine,8615088901234,East,89/1/3"
